AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
samedi 27 septembre 25;LAUZOUA;SAN PEDRO;0CFA;0CFA;0CFA;0,00;0CFA;0CFA;;too much trucks that day he can't charge //  26/09 fuel taken;;;;
dimanche 28 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;55,92;447 360CFA;292 160CFA;59 843km;;;;;
lundi 29 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;30 300CFA;165 300CFA;113,38;907 040CFA;741 740CFA;60 224km;10K road feee;;;;
mardi 30 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;56,22;449 760CFA;294 560CFA;60 613km;fuel Taken 29/09 night;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;3 902 502CFA;650 600CFA;4 553 102CFA;1 480,26;11 842 080CFA;7 288 978CFA;;;;;;
;;;$6 504,17;$1 084,33;$7 588,50;;$19 736,80;$12 148,30;;;;;;
;;;;;;;;;;;;;;
;;;;01/09/2025 To 30/09/2025        Total distance 9554 KM for 28  TRIP       Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
mercredi 1 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;63,10;504 800CFA;504 737CFA;61 006km;;;;;
jeudi 2 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;61,00;488 000CFA;487 939CFA;61 389km;;;;;
vendredi 3 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;22 200CFA;157 200CFA;60,10;480 800CFA;480 740CFA;61 782km;2K tire probleme;;;;
samedi 4 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;58,52;468 160CFA;468 101CFA;62 164km;;;;;
dimanche 5 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;5 050CFA;140 050CFA;0,00;0CFA;0CFA;62 629km;Minning Close till 09/10;;;;
lundi 6 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mardi 7 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mercredi 8 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
jeudi 9 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;30 300CFA;165 300CFA;59,86;478 880CFA;478 820CFA;62 947km;10k police documents;;;;
vendredi 10 octobre 25;LAUZOUA;SAN PEDRO;;5 050CFA;5 050CFA;0,00;0CFA;0CFA;63 329km;No transport minning machine probleme;;;;
samedi 11 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;33 000CFA;168 000CFA;116,96;935 680CFA;935 563CFA;63 722km;2 trips 62,9+54,06;;;;
dimanche 12 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;54,98;439 840CFA;439 785CFA;64 111km;;;;;
lundi 13 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;0,00;0CFA;0CFA;64 492km;No trasport this day;;;;
mardi 14 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;58,52;468 160CFA;468 101CFA;;;;;;
mercredi 15 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;53,76;430 080CFA;430 026CFA;;;;;;
jeudi 16 octobre 25;;;;;;;;;;;;;;
vendredi 17 octobre 25;;;;;;;;;;;;;;
samedi 18 octobre 25;;;;;;;;;;;;;;
dimanche 19 octobre 25;;;;;;;;;;;;;;
lundi 20 octobre 25;;;;;;;;;;;;;;
mardi 21 octobre 25;LAUZOUA;SAN PEDRO;135 000CFA;30 300CFA;165 300CFA;57,40;459 200CFA;459 143CFA;65 280km;;;;;
mercredi 22 octobre 25;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
jeudi 23 octobre 25;;;;;;;;;;;;;;
vendredi 24 octobre 25;;;;;;;;;;;;;;
samedi 25 octobre 25;;;;;;;;;;;;;;
dimanche 26 octobre 25;;;;;;;;;;;;;;
lundi 27 octobre 25;;;;;;;;;;;;;;
